date,fee
2023-07-10,28
2023-07-11,1066
2023-07-12,548
2023-07-13,852
2023-07-14,4996
2023-07-15,6402
2023-07-16,5105
2023-07-17,3858
2023-07-18,5435
2023-07-19,7625
2023-07-20,6620
2023-07-21,7797
2023-07-22,8635
2023-07-23,7346
2023-07-24,6767
2023-07-25,6641
2023-07-26,9334
2023-07-27,8709
2023-07-28,7057
2023-07-29,13129
2023-07-30,431527
2023-07-31,343603
2023-08-01,132313
2023-08-02,79917
2023-08-03,157010
2023-08-04,100959
2023-08-05,105840
2023-08-06,98586
2023-08-07,150052
2023-08-08,166060
2023-08-09,436959
2023-08-10,594032
2023-08-11,1134503
2023-08-12,409305
2023-08-13,281500
2023-08-14,299534
2023-08-15,282705
2023-08-16,251706
2023-08-17,269713
2023-08-18,300088
2023-08-19,1250176
2023-08-20,1591767
2023-08-21,1974093
2023-08-22,962631
2023-08-23,487443
2023-08-24,352441
2023-08-25,710476
2023-08-26,453017
2023-08-27,343960
2023-08-28,387043
2023-08-29,329782
2023-08-30,218053
2023-08-31,334694
2023-09-01,232225
2023-09-02,275313
2023-09-03,207500
2023-09-04,227293
2023-09-05,256767
2023-09-06,303869
2023-09-07,398438
2023-09-08,516609
2023-09-09,1299083
2023-09-10,1006630
2023-09-11,903896
2023-09-12,1294309
2023-09-13,2443733
2023-09-14,2287026
2023-09-15,1547910
2023-09-16,1151123
2023-09-17,1089001
2023-09-18,1370186
2023-09-19,1135267
2023-09-20,1132550
2023-09-21,877321
2023-09-22,751683
2023-09-23,1289673
2023-09-24,842202
2023-09-25,916755
2023-09-26,922892
2023-09-27,926568
2023-09-28,1038352
2023-09-29,1179383
2023-09-30,1162455
2023-10-01,1321990
2023-10-02,1294775
2023-10-03,1128340
2023-10-04,1305167
2023-10-05,927772
2023-10-06,438514
2023-10-07,696671
2023-10-08,453027
2023-10-09,473298
2023-10-10,457998
2023-10-11,362590
2023-10-12,436621
2023-10-13,266593
2023-10-14,297035
2023-10-15,231837
2023-10-16,261999
2023-10-17,317627
2023-10-18,310688
2023-10-19,215223
2023-10-20,241035
2023-10-21,247673
2023-10-22,378178
2023-10-23,398198
2023-10-24,1009380
2023-10-25,283308
2023-10-26,252832
2023-10-27,164808
2023-10-28,202451
2023-10-29,146088
2023-10-30,214946
2023-10-31,175316
2023-11-01,181590
2023-11-02,164566
